belegstelle\tHDNr
AAWW-1964-58 = AE 1965, 00262	HD018403
AArchSlov-1977-103 = AE 1978, 00612	HD004705
AArchSlov-1977-107 = AE 2003, 01299	HD045027
AArchSlov-1977-76	
AArchSlov-1977-77	
AArchSlov-1977-78 = ILLPRON 01796 = ILJug-02, 01188 = AE 1978, 00603	HD013950
AArchSlov-1977-78 = ILLPRON 01798 = AE 1978, 00604	HD013956
AArchSlov-1995-283
AArchSlov-2006-380	
AArchSlov-2006-382
AArchSlov-2006-383
AArchSlov-2006-386
AEA 1983/92, 00306 = AEA 2001/02, +00046 = AE 1990, 00782a = AE 1992, 01324	HD024753
AEA 1983/92, 00307 = AEA 2001/02, +00046 = AE 1990, 00782b	HD024756
AEA 1983/92, 00308 = AEA 2001/02, +00046 = AE 1990, 00783 = AE 1992, 01325	HD024759
AEA 1983/92, 00312 = AE 1992, 01327	HD053625
AEA 1983/92, 00314 = AEA 1999/00, +00134 = AE 1992, 01330	HD053626
AEA 1983/92, 00315 = AE 1986, 00543	HD006544
AEA 1983/92, 00317 = AEA 1999/00, +00135 = AE 1992, 01331	HD053627
AEA 1983/92, 00322 = AE 1986, 00544	HD006541
AEA 1983/92, 00327 = AEA 1999/00, +00132 = AE 1991, 01285 = AE 1992, 01333	HD053629
AEA 1983/92, 00331 = AE 1992, 01336	HD053631
AEA 1983/92, 00339 = AEA 2001/02, +00039 = AE 1991, 01283 = AE 1992, 01339	HD053634
AEA 1983/92, 00341 = AE 1992, 01341	HD053635
AEA 1983/92, 00343 = AEA 1999/00, +00069 = AE 1992, 01342	HD053636
AEA 1983/92, 00348 = AEA 1999/00, +00069 = AE 1990, 00776	HD024735
AEA 1983/92, 00349
AEA 1983/92, 00351 = AEA 2009, +00013 = AE 1992, 01344 = AE 2009, 00980	HD053638
AEA 1983/92, 00352
AEA 1983/92, 00353
AEA 1983/92, 00356 = AE 1992, 01345	HD053639
AEA 1983/92, 00357
AEA 1983/92, 00361 = AEA 2008, +00041 = AE 1992, 01347	HD053640
AEA 1983/92, 00362 = AEA 1999/00, +00019 = AEA 2009, +00012 = AE 1992, 01348	HD053641
AEA 1983/92, 00365 = AE 1986, 00540b	HD007890
AEA 1983/92, 00365 = AEA 1993/98, 00351 = AEA 1999/00, +00019 = AE 1985, 00540b = AE 1992, 01349 = AE 1997, 01218	HD007890
AEA 1983/92, 00366
AEA 1983/92, 00368 = AE 1984, 00714 = AE 1992, 01350	HD001776
AEA 1983/92, 00378 = AEA 2005, +00008 = AE 1992, 01351	HD053642
AEA 1983/92, 00385 = AE 1992, 01353	HD053643
AEA 1983/92, 00386
AEA 1983/92, 00388 = AE 1992, 01355	HD053645
AEA 1983/92, 00389 = AE 1992, 01356	HD053646
AEA 1983/92, 00390 = AE 1992, 01357	HD053647
AEA 1983/92, 00391 = AE 1992, 01358	HD053648
AEA 1983/92, 00402 = AE 1990, 00774 = AE 1992, 01362	HD024729
AEA 1983/92, 00404
AEA 1983/92, 00405 = AE 1992, 01364	HD053651
AEA 1983/92, 00407 = AE 1992, 01366	HD053653
AEA 1983/92, 00414 = AE 1992, 01368	HD053753
AEA 1983/92, 00416 = AEA 2008, +00054 = AE 1992, 01370	HD053755
AEA 1993/98, 00107 = AE 1982, 00790	HD001229
AEA 1993/98, 00125 = AE 1988, 00918	HD009263
AEA 1993/98, 00130 = AE 1989, 00588	HD018285
AEA 1993/98, 00131 = AEA 2005, +00060 = AE 1989, 00591	HD018294
